date_achat;id_marque;id_ram;id_os;id_logiciel
2022-11-12;4;1;1;1
2022-11-12;1;1;1;1
2022-11-12;2;1;1;1
2022-11-12;2;1;1;1
2022-11-12;3;1;2;1
2022-11-12;3;1;2;1
2022-11-15;2;2;2;1
2022-11-12;1;2;2;1
2022-11-12;4;2;1;1
2022-11-12;1;2;1;1
2022-11-12;1;2;1;1
2022-11-12;2;2;1;1
2022-11-12;2;1;1;1
2022-11-12;3;2;1;1
2022-11-12;3;2;1;1
2022-11-12;3;2;1;1
2022-11-12;3;1;2;1
2022-11-13;3;1;2;1
2022-11-12;3;1;2;1
2022-11-12;2;1;2;1
2022-11-12;2;1;1;1
2022-11-12;2;1;1;1
2022-11-12;2;1;1;1
2022-11-12;2;1;1;1
2022-11-12;5;3;3;1
2022-11-12;5;3;3;1
2022-11-17;5;3;3;1
2022-11-12;5;3;3;1
2022-11-12;5;3;3;1
2022-11-12;5;3;3;1
2022-11-12;5;3;3;1
2022-11-12;5;3;3;1
2022-11-12;4;2;1;1
2022-11-12;4;2;1;1
2022-11-12;2;2;1;1
2022-11-12;3;1;2;1
2022-11-12;3;1;2;1
2022-11-12;2;2;2;1
2022-11-12;4;2;1;1
2022-11-12;6;3;4;1
2022-11-12;6;3;4;1
2022-11-12;6;3;4;1
2022-11-12;6;3;4;1
2022-11-12;2;2;1;1
2022-11-12;3;2;1;1
2022-11-12;5;1;1;1
2022-11-12;1;1;1;1
2022-11-12;2;1;1;1
2022-11-12;2;2;2;1
2022-11-12;2;2;2;1
2022-11-12;3;3;2;1
2022-11-12;1;3;1;1
2022-11-14;4;2;1;1
2022-11-12;2;2;1;1
2022-11-12;5;1;2;1
2022-11-12;2;1;2;1
2022-11-12;6;3;4;1
2022-11-12;2;2;2;1
2022-11-12;2;1;2;1
2022-11-12;1;1;2;1
2022-11-12;1;2;2;1
2022-11-12;1;2;1;1
2022-11-12;2;2;1;1
2022-11-12;3;2;1;1
2022-11-12;3;2;1;1
2022-11-12;2;1;1;1
2022-11-12;1;1;1;1
2022-11-12;1;1;1;1
2022-11-11;5;2;1;1
2022-11-12;2;2;1;1
2022-11-12;6;3;4;1
2022-11-12;6;3;4;1
2022-11-12;6;3;4;1
2022-11-12;1;2;2;1
2022-11-12;1;2;2;1
2022-11-12;3;1;2;1
2022-11-12;2;1;1;1
2022-11-12;2;1;1;1
2022-11-13;2;1;1;1
2022-11-13;2;2;1;1
2022-11-17;3;1;2;1
2022-11-20;4;2;2;1
2022-12-12;2;1;2;1
2022-11-12;4;1;2;1
2022-11-12;1;2;1;1
2022-11-12;1;2;1;1
2022-11-13;4;2;1;1
2022-11-13;1;1;1;1
2022-11-12;2;2;1;1
2022-11-12;4;2;1;1
2022-11-13;2;1;1;1
2022-11-13;4;1;1;1
2022-11-18;3;1;1;1
2022-11-18;3;1;1;1
2022-11-25;1;2;1;1
2022-11-25;2;2;2;1
2022-11-25;3;2;2;1
2022-11-30;2;1;2;1
2022-12-05;1;2;2;1
2022-12-08;5;3;2;1
